===== Rank 0 (num_rows=5, N=20) =====
[old_field]
   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0 
   5.0    4.8    4.5    4.3    4.0    3.8    3.6    3.3    3.1    2.9    2.6    2.4    2.1    1.9    1.7    1.4    1.2    1.0    0.7    0.5    0.2    0.0 
  10.0    9.5    9.0    8.6    8.1    7.6    7.1    6.7    6.2    5.7    5.2    4.8    4.3    3.8    3.3    2.9    2.4    1.9    1.4    1.0    0.5    0.0 
  15.0   14.3   13.6   12.9   12.1   11.4   10.7   10.0    9.3    8.6    7.9    7.1    6.4    5.7    5.0    4.3    3.6    2.9    2.1    1.4    0.7    0.0 
  20.0   19.0   18.1   17.1   16.2   15.2   14.3   13.3   12.4   11.4   10.5    9.5    8.6    7.6    6.7    5.7    4.8    3.8    2.9    1.9    1.0    0.0 
  25.0   23.8   22.6   21.4   20.2   19.0   17.9   16.7   15.5   14.3   13.1   11.9   10.7    9.5    8.3    7.1    6.0    4.8    3.6    2.4    1.2    0.0 
   0.5   28.6   27.1   25.7   24.3   22.9   21.4   20.0   18.6   17.1   15.7   14.3   12.9   11.4   10.0    8.6    7.1    5.7    4.3    2.9    1.4    0.0 

[new_field]
   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0 
   5.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  10.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  15.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  20.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  25.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
   0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 

===== Rank 1 (num_rows=5, N=20) =====
[old_field]
   0.5   23.8   22.6   21.4   20.2   19.0   17.9   16.7   15.5   14.3   13.1   11.9   10.7    9.5    8.3    7.1    6.0    4.8    3.6    2.4    1.2    0.0 
  30.0   28.6   27.1   25.7   24.3   22.9   21.4   20.0   18.6   17.1   15.7   14.3   12.9   11.4   10.0    8.6    7.1    5.7    4.3    2.9    1.4    0.0 
  35.0   33.3   31.7   30.0   28.3   26.7   25.0   23.3   21.7   20.0   18.3   16.7   15.0   13.3   11.7   10.0    8.3    6.7    5.0    3.3    1.7    0.0 
  40.0   38.1   36.2   34.3   32.4   30.5   28.6   26.7   24.8   22.9   21.0   19.0   17.1   15.2   13.3   11.4    9.5    7.6    5.7    3.8    1.9    0.0 
  45.0   42.9   40.7   38.6   36.4   34.3   32.1   30.0   27.9   25.7   23.6   21.4   19.3   17.1   15.0   12.9   10.7    8.6    6.4    4.3    2.1    0.0 
  50.0   47.6   45.2   42.9   40.5   38.1   35.7   33.3   31.0   28.6   26.2   23.8   21.4   19.0   16.7   14.3   11.9    9.5    7.1    4.8    2.4    0.0 
   0.5   52.4   49.8   47.1   44.5   41.9   39.3   36.7   34.0   31.4   28.8   26.2   23.6   21.0   18.3   15.7   13.1   10.5    7.9    5.2    2.6    0.0 

[new_field]
   0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  30.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  35.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  40.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  45.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  50.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
   0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 

===== Rank 2 (num_rows=5, N=20) =====
[old_field]
   0.5   47.6   45.2   42.9   40.5   38.1   35.7   33.3   31.0   28.6   26.2   23.8   21.4   19.0   16.7   14.3   11.9    9.5    7.1    4.8    2.4    0.0 
  55.0   52.4   49.8   47.1   44.5   41.9   39.3   36.7   34.0   31.4   28.8   26.2   23.6   21.0   18.3   15.7   13.1   10.5    7.9    5.2    2.6    0.0 
  60.0   57.1   54.3   51.4   48.6   45.7   42.9   40.0   37.1   34.3   31.4   28.6   25.7   22.9   20.0   17.1   14.3   11.4    8.6    5.7    2.9    0.0 
  65.0   61.9   58.8   55.7   52.6   49.5   46.4   43.3   40.2   37.1   34.0   31.0   27.9   24.8   21.7   18.6   15.5   12.4    9.3    6.2    3.1    0.0 
  70.0   66.7   63.3   60.0   56.7   53.3   50.0   46.7   43.3   40.0   36.7   33.3   30.0   26.7   23.3   20.0   16.7   13.3   10.0    6.7    3.3    0.0 
  75.0   71.4   67.9   64.3   60.7   57.1   53.6   50.0   46.4   42.9   39.3   35.7   32.1   28.6   25.0   21.4   17.9   14.3   10.7    7.1    3.6    0.0 
   0.5   76.2   72.4   68.6   64.8   61.0   57.1   53.3   49.5   45.7   41.9   38.1   34.3   30.5   26.7   22.9   19.0   15.2   11.4    7.6    3.8    0.0 

[new_field]
   0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
  55.0    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.0 
